dataset,target,protocol,repeat,fold,r2
A,UTS,random,0,1,0.7988964063721551
A,UTS,random,0,2,0.7566573666008567
A,UTS,random,0,3,0.6488079078603135
A,UTS,random,0,4,0.7089215427027686
A,UTS,random,0,5,0.632785174217675
A,UTS,random,0,6,0.9048601086926451
A,UTS,random,0,7,0.8555366298587224
A,UTS,random,0,8,0.7130586672096398
A,UTS,random,0,9,0.8120780638785792
A,UTS,random,0,10,0.6299361599101557
A,conductivity,random,0,1,0.6774780663895942
A,conductivity,random,0,2,0.7905095203631445
A,conductivity,random,0,3,0.8501232322670218
A,conductivity,random,0,4,0.8902046623962381
A,conductivity,random,0,5,0.2956185490489234
A,conductivity,random,0,6,0.9123992880965985
A,conductivity,random,0,7,0.9015551779658507
A,conductivity,random,0,8,0.7753288478181082
A,conductivity,random,0,9,0.393502839659737
A,conductivity,random,0,10,0.6250007348995921
B,UTS,random,0,1,0.9180472693913976
B,UTS,random,0,2,0.9359704315239556
B,UTS,random,0,3,0.9952311571132036
B,UTS,random,0,4,0.8003348575285726
B,UTS,random,0,5,0.9153310687517686
B,UTS,random,0,6,0.8766139309320837
B,UTS,random,0,7,0.8999233783875242
B,UTS,random,0,8,0.8242145072012481
B,UTS,random,0,9,0.920918975798747
B,UTS,random,0,10,0.8076038577276025
B,conductivity,random,0,1,0.5419671951406004
B,conductivity,random,0,2,0.8937532114257412
B,conductivity,random,0,3,0.8283914060824557
B,conductivity,random,0,4,0.7836230120920016
B,conductivity,random,0,5,0.18011580382408698
B,conductivity,random,0,6,0.8470318291927101
B,conductivity,random,0,7,0.9351731011938164
B,conductivity,random,0,8,0.6257962397936094
B,conductivity,random,0,9,0.20279143644442899
B,conductivity,random,0,10,0.8913740216856197
A,UTS,grouped,1,1,-0.643873950772639
A,UTS,grouped,1,2,0.2069314637421551
A,UTS,grouped,1,3,0.1423610827256904
A,UTS,grouped,1,4,0.3092467125956072
A,UTS,grouped,1,5,-0.1677653356926676
A,UTS,grouped,1,6,-0.9466594075672728
A,UTS,grouped,1,7,0.4194417265981636
A,UTS,grouped,1,8,0.5699555373378502
A,UTS,grouped,1,9,0.6541989649283901
A,UTS,grouped,1,10,0.9083137037260532
A,UTS,grouped,2,1,-1.7156109081086823
A,UTS,grouped,2,2,0.7917151084496268
A,UTS,grouped,2,3,0.6665782554861519
A,UTS,grouped,2,4,0.3469912066437161
A,UTS,grouped,2,5,0.388874284462697
A,UTS,grouped,2,6,0.7335084431972576
A,UTS,grouped,2,7,0.5940309034282305
A,UTS,grouped,2,8,-2.3618185435290626
A,UTS,grouped,2,9,0.3367703176304993
A,UTS,grouped,2,10,0.0765180141231742
A,UTS,grouped,3,1,0.5584533797923421
A,UTS,grouped,3,2,0.4066335292599312
A,UTS,grouped,3,3,0.443827632603147
A,UTS,grouped,3,4,0.703956762567895
A,UTS,grouped,3,5,0.3683247031060279
A,UTS,grouped,3,6,-0.7449318973139822
A,UTS,grouped,3,7,-0.2226273888227348
A,UTS,grouped,3,8,-0.5768278340991839
A,UTS,grouped,3,9,-0.1589278769910775
A,UTS,grouped,3,10,0.7933683160629127
A,UTS,grouped,4,1,-1.0042599566149266
A,UTS,grouped,4,2,-1.87940704304232
A,UTS,grouped,4,3,0.1604623026539514
A,UTS,grouped,4,4,0.235159585900304
A,UTS,grouped,4,5,0.4057495482195034
A,UTS,grouped,4,6,0.883318277948942
A,UTS,grouped,4,7,0.5026539269886183
A,UTS,grouped,4,8,0.6594606886920672
A,UTS,grouped,4,9,-0.9267257897957104
A,UTS,grouped,4,10,-0.41654883467319
A,UTS,grouped,5,1,0.0687639935605618
A,UTS,grouped,5,2,-0.4933728929010468
A,UTS,grouped,5,3,0.2059899035645692
A,UTS,grouped,5,4,0.8391540305002461
A,UTS,grouped,5,5,0.5818450687890847
A,UTS,grouped,5,6,0.700136260983254
A,UTS,grouped,5,7,-1.67105376261723
A,UTS,grouped,5,8,-0.4597283450097227
A,UTS,grouped,5,9,0.4660631928970106
A,UTS,grouped,5,10,0.4192604472558466
A,UTS,grouped,6,1,0.4422226784670665
A,UTS,grouped,6,2,0.8325082013304748
A,UTS,grouped,6,3,-0.1347657801119917
A,UTS,grouped,6,4,0.2440593003089901
A,UTS,grouped,6,5,0.4988369608187208
A,UTS,grouped,6,6,0.5802951121657969
