Ni,Si,Ce,La,cold_rolling_strain,annealing_T,annealing_t,solution_T,solution_t,aging_T,aging_t,UTS,conductivity,hardness,is_cold_rolled,is_annealed,is_solution,is_aged,log_Ni,log_Si,log_Ce,log_La,precipitation_index
2.5,0.5,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,,,157.22,0,0,0,0,0.9162907322741551,-0.6931471785599453,-20.72326583694641,-20.72326583694641,0
2.5,1.0,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,274.5,,197.78,0,0,0,0,0.9162907322741551,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,0
2.5,1.5,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,287.4,,170.6,0,0,0,0,0.9162907322741551,0.4054651087748311,-20.72326583694641,-20.72326583694641,0
2.5,0.5,0.0,0.0,-1.0,-1,-1.0,900,1.0,450,6.0,597.0,,266.68,0,0,1,1,0.9162907322741551,-0.6931471785599453,-20.72326583694641,-20.72326583694641,2
2.5,1.0,0.0,0.0,-1.0,-1,-1.0,900,1.0,450,6.0,573.705,,294.52,0,0,1,1,0.9162907322741551,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,2
2.5,1.5,0.0,0.0,-1.0,-1,-1.0,900,1.0,450,6.0,449.0,,195.36,0,0,1,1,0.9162907322741551,0.4054651087748311,-20.72326583694641,-20.72326583694641,2
2.39,0.63,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,400.5,48.5,,0,0,0,0,0.8712933663618294,-0.4620354580092571,-20.72326583694641,-20.72326583694641,0
2.36,0.63,0.0,0.07,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,381.0,47.3,,0,0,0,0,0.8586616194612475,-0.4620354580092571,-20.72326583694641,-2.659260022647064,0
2.38,0.63,0.0,0.11,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,369.5,47.1,,0,0,0,0,0.8671004881035513,-0.4620354580092571,-20.72326583694641,-2.207274904098812,0
2.42,0.64,0.0,0.15,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,373.0,46.5,,0,0,0,0,0.8837675405818182,-0.4462871010659195,-20.72326583694641,-1.897119978219215,0
2.58,0.62,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,403.0,26.9,,0,0,0,0,0.947789399321123,-0.4780357993300967,-20.72326583694641,-20.72326583694641,0
2.61,0.62,0.0,0.1,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,430.0,,,0,0,0,0,0.9593502217177438,-0.4780357993300967,-20.72326583694641,-2.302585082994046,0
2.57,0.62,0.0,0.5,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,,31.7,,0,0,0,0,0.9439058992962335,-0.4780357993300967,-20.72326583694641,-0.6931471785599453,0
2.61,0.62,0.0,0.1,60.0,-1,-1.0,900,1.5,-1,-1.0,,,175.2,1,0,1,0,0.9593502217177438,-0.4780357993300967,-20.72326583694641,-2.302585082994046,2
2.61,0.62,0.0,0.1,60.0,-1,-1.0,900,1.5,430,0.5,,,249.1,1,0,1,1,0.9593502217177438,-0.4780357993300967,-20.72326583694641,-2.302585082994046,3
2.61,0.62,0.0,0.1,60.0,-1,-1.0,900,1.5,430,2.0,,,268.7,1,0,1,1,0.9593502217177438,-0.4780357993300967,-20.72326583694641,-2.302585082994046,3
3.0,0.64,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,280.0,38.5,,0,0,0,0,1.098612289001443,-0.4462871010659195,-20.72326583694641,-20.72326583694641,0
3.0,0.64,0.04,0.0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,340.0,39.2,,0,0,0,0,1.098612289001443,-0.4462871010659195,-3.218875799868201,-20.72326583694641,0
3.0,0.64,0.06,0.0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,355.0,39.0,,0,0,0,0,1.098612289001443,-0.4462871010659195,-2.81341070009337,-20.72326583694641,0
3.0,0.64,0.08,0.0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,325.0,38.2,,0,0,0,0,1.098612289001443,-0.4462871010659195,-2.525728631808255,-20.72326583694641,0
3.0,0.64,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,292.14,26.9,,0,0,0,0,1.098612289001443,-0.4462871010659195,-20.72326583694641,-20.72326583694641,0
3.0,0.64,0.033,0.0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,337.79,25.9,,0,0,0,0,1.098612289001443,-0.4462871010659195,-3.411247687212627,-20.72326583694641,0
3.0,0.64,0.049,0.0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,411.0,26.3,,0,0,0,0,1.098612289001443,-0.4462871010659195,-3.015934960463347,-20.72326583694641,0
3.0,0.64,0.065,0.0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,228.5,31.0,,0,0,0,0,1.098612289001443,-0.4462871010659195,-2.733367993701885,-20.72326583694641,0
2.76,0.62,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,,,150.6,0,0,0,0,1.015230680091378,-0.4780357993300967,-20.72326583694641,-20.72326583694641,0
2.8,0.614,0.0,0.048,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,,,183.5,0,0,0,0,1.029619417538301,-0.4877603492063302,-20.72326583694641,-3.036554247240913,0
2.77,0.631,0.0,0.192,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,,,182.33,0,0,0,0,1.018847320560258,-0.4604494148561379,-20.72326583694641,-1.650259901746022,0
2.82,0.631,0.0,0.375,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,,,174.3,0,0,0,0,1.036736885304632,-0.4604494148561379,-20.72326583694641,-0.9808292503450595,0
2.43,0.56,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,412.5,,,0,0,0,0,0.8878912577639798,-0.5798184934672278,-20.72326583694641,-20.72326583694641,0
2.48,0.51,0.0,0.044,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,444.8,,,0,0,0,0,0.9082585605801167,-0.6733445513029813,-20.72326583694641,-3.123565622336603,0
2.42,0.58,0.0,0.17,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,338.5,,,0,0,0,0,0.8837675405818182,-0.5447271737175342,-20.72326583694641,-1.771956836049522,0
2.48,0.48,0.0,0.22,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,439.4,,,0,0,0,0,0.9082585605801167,-0.733969172996867,-20.72326583694641,-1.514127728084321,0
2.5,0.47,0.0,0.45,-1.0,-1,-1.0,-1,-1.0,-1,-1.0,313.6,,,0,0,0,0,0.9162907322741551,-0.7550225821503732,-20.72326583694641,-0.7985076939955493,0
2.3,0.44,0.0,0.0,18.4,-1,-1.0,-1,-1.0,-1,-1.0,,24.05,133.3,1,0,0,0,0.8329091233698865,-0.8209805497971029,-20.72326583694641,-20.72326583694641,1
2.3,0.44,0.0,0.0,35.0,-1,-1.0,-1,-1.0,-1,-1.0,,23.63,144.16,1,0,0,0,0.8329091233698865,-0.8209805497971029,-20.72326583694641,-20.72326583694641,1
2.3,0.44,0.0,0.0,63.8,-1,-1.0,-1,-1.0,-1,-1.0,,23.37,155.27,1,0,0,0,0.8329091233698865,-0.8209805497971029,-20.72326583694641,-20.72326583694641,1
2.3,0.44,0.0,0.0,80.0,-1,-1.0,-1,-1.0,-1,-1.0,500.0,22.94,162.92,1,0,0,0,0.8329091233698865,-0.8209805497971029,-20.72326583694641,-20.72326583694641,1
2.3,0.44,0.0,0.0,18.4,-1,-1.0,-1,-1.0,500,1.0,,43.31,228.74,1,0,0,1,0.8329091233698865,-0.8209805497971029,-20.72326583694641,-20.72326583694641,2
2.3,0.44,0.0,0.0,35.0,-1,-1.0,-1,-1.0,500,1.0,,43.8,232.04,1,0,0,1,0.8329091233698865,-0.8209805497971029,-20.72326583694641,-20.72326583694641,2
2.3,0.44,0.0,0.0,63.8,-1,-1.0,-1,-1.0,500,1.0,,44.8,232.62,1,0,0,1,0.8329091233698865,-0.8209805497971029,-20.72326583694641,-20.72326583694641,2
2.3,0.44,0.0,0.0,80.0,-1,-1.0,-1,-1.0,500,1.0,638.24,46.37,236.14,1,0,0,1,0.8329091233698865,-0.8209805497971029,-20.72326583694641,-20.72326583694641,2
