Ni,Si,Ce,La,cold_rolling_strain,solution_T,solution_t,aging_T,aging_t,UTS,conductivity,is_cold_rolled,is_solution,is_aged,log_Ni,log_Si,log_Ce,log_La,precipitation_index
2.5,0.5,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,,,0,0,0,0.9162907322741553,-0.6931471785599453,-20.72326583694641,-20.72326583694641,0
2.5,1.0,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,274.5,,0,0,0,0.9162907322741553,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,0
2.5,1.5,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,287.4,,0,0,0,0.9162907322741553,0.4054651087748311,-20.72326583694641,-20.72326583694641,0
2.5,0.5,0.0,0.0,-1.0,900,1.0,450,6.0,597.0,,0,1,1,0.9162907322741553,-0.6931471785599453,-20.72326583694641,-20.72326583694641,2
2.5,1.0,0.0,0.0,-1.0,900,1.0,450,6.0,573.705,,0,1,1,0.9162907322741553,1.000000082240371e-09,-20.72326583694641,-20.72326583694641,2
2.5,1.5,0.0,0.0,-1.0,900,1.0,450,6.0,449.0,,0,1,1,0.9162907322741553,0.4054651087748311,-20.72326583694641,-20.72326583694641,2
2.39,0.63,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,400.5,48.5,0,0,0,0.8712933663618294,-0.4620354580092571,-20.72326583694641,-20.72326583694641,0
2.36,0.63,0.0,0.07,-1.0,-1,-1.0,-1,-1.0,381.0,47.3,0,0,0,0.8586616194612475,-0.4620354580092571,-20.72326583694641,-2.659260022647064,0
2.38,0.63,0.0,0.11,-1.0,-1,-1.0,-1,-1.0,369.5,47.1,0,0,0,0.8671004881035513,-0.4620354580092571,-20.72326583694641,-2.207274904098812,0
2.42,0.64,0.0,0.15,-1.0,-1,-1.0,-1,-1.0,373.0,46.5,0,0,0,0.8837675405818182,-0.4462871010659195,-20.72326583694641,-1.897119978219215,0
2.58,0.62,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,403.0,26.9,0,0,0,0.947789399321123,-0.4780357993300967,-20.72326583694641,-20.72326583694641,0
2.61,0.62,0.0,0.1,-1.0,-1,-1.0,-1,-1.0,430.0,,0,0,0,0.9593502217177438,-0.4780357993300967,-20.72326583694641,-2.302585082994046,0
2.57,0.62,0.0,0.5,-1.0,-1,-1.0,-1,-1.0,,31.7,0,0,0,0.9439058992962336,-0.4780357993300967,-20.72326583694641,-0.6931471785599453,0
2.61,0.62,0.0,0.1,60.0,900,1.5,-1,-1.0,,,1,1,0,0.9593502217177438,-0.4780357993300967,-20.72326583694641,-2.302585082994046,2
2.61,0.62,0.0,0.1,60.0,900,1.5,430,0.5,,,1,1,1,0.9593502217177438,-0.4780357993300967,-20.72326583694641,-2.302585082994046,3
2.61,0.62,0.0,0.1,60.0,900,1.5,430,2.0,,,1,1,1,0.9593502217177438,-0.4780357993300967,-20.72326583694641,-2.302585082994046,3
3.0,0.64,0.0,0.0,-1.0,-1,-1.0,-1,-1.0,280.0,38.5,0,0,0,1.098612289001443,-0.4462871010659195,-20.72326583694641,-20.72326583694641,0
3.0,0.64,0.04,0.0,-1.0,-1,-1.0,-1,-1.0,340.0,39.2,0,0,0,1.098612289001443,-0.4462871010659195,-3.218875799868201,-20.72326583694641,0
